scenario,variant,seed,prompt_id,model_id,model_name,final_delta,first_decision_layer,stabilization_layer,max_abs_delta,mean_delta,seq_logp_action1,seq_logp_action2,seq_delta_logp_action2_minus_action1,seq_p_action1,seq_p_action2,seq_preferred_action
CC_temptation,0,42,CC_temptation_v0,PT4_COREDe,Hybrid,-3.7109375,0,25,10.376953125,-4.715613731971154,-0.04453959113161174,-3.1461059584736075,-3.101566367341996,0.9569573099561315,0.04304269004386859,action1
CC_temptation,1,55,CC_temptation_v1,PT4_COREDe,Hybrid,-3.7109375,0,25,10.376953125,-4.715613731971154,-0.04453959113161174,-3.1461059584736075,-3.101566367341996,0.9569573099561315,0.04304269004386859,action1
CC_temptation,2,68,CC_temptation_v2,PT4_COREDe,Hybrid,-0.96875,0,25,7.5625,-3.245624248798077,-0.13093347209346723,-2.0996867003888804,-1.9687532282954132,0.8774771345595735,0.12252286544042648,action1
CD_punished,0,42,CD_punished_v0,base,Base (no FT),-1.50390625,0,19,7.5,-2.8671123798076925,-2.2648531828063345,-2.3273526356514886,-0.062499452845154124,0.5156197790677989,0.48438022093220123,action1
CD_punished,1,55,CD_punished_v1,base,Base (no FT),-1.50390625,0,19,7.5,-2.8671123798076925,-2.2648531828063345,-2.3273526356514886,-0.062499452845154124,0.5156197790677989,0.48438022093220123,action1
CD_punished,2,68,CD_punished_v2,base,Base (no FT),-1.234375,0,17,7.4375,-2.782893254206731,-4.298279378061841,-2.2670307537204013,2.03124862434144,0.11596085927806912,0.8840391407219309,action2
CD_punished,0,42,CD_punished_v0,PT2_COREDe,Strategic,1.9765625,0,23,7.4375,-1.7878230168269231,-7.2819509499349655,-0.0007011554234989538,7.281249794511466,0.0006878512963035611,0.9993121487036964,action2
CD_punished,1,55,CD_punished_v1,PT2_COREDe,Strategic,1.9765625,0,23,7.4375,-1.7878230168269231,-7.2819509499349655,-0.0007011554234989538,7.281249794511466,0.0006878512963035611,0.9993121487036964,action2
CD_punished,2,68,CD_punished_v2,PT2_COREDe,Strategic,0.81640625,0,19,7.5,-2.3787912222055287,-7.492753872112579,-0.0005664935670186756,7.492187378545561,0.000557111785776688,0.9994428882142233,action2
CD_punished,0,42,CD_punished_v0,PT3_COREDe,Deontological,-4.48046875,0,25,8.296875,-4.376058138333834,-0.000210305939294766,-8.531460230469307,-8.531249924530012,0.9998028305631604,0.00019716943683966963,action1
CD_punished,1,55,CD_punished_v1,PT3_COREDe,Deontological,-4.48046875,0,25,8.296875,-4.376058138333834,-0.000210305939294766,-8.531460230469307,-8.531249924530012,0.9998028305631604,0.00019716943683966963,action1
CD_punished,2,68,CD_punished_v2,PT3_COREDe,Deontological,-3.85546875,0,25,7.5,-4.191650390625,-7.301730477110483e-05,-9.609447552614593,-9.609374535309822,0.9999329077238289,6.709227617103153e-05,action1
CD_punished,0,42,CD_punished_v0,PT3_COREUt,Utilitarian,-1.88671875,0,25,7.4375,-3.5137845552884617,-0.023430105707122593,-3.773430831028913,-3.7500007253217906,0.9770226463730154,0.022977353626984713,action1
CD_punished,1,55,CD_punished_v1,PT3_COREUt,Utilitarian,-1.88671875,0,25,7.4375,-3.5137845552884617,-0.023430105707122593,-3.773430831028913,-3.7500007253217906,0.9770226463730154,0.022977353626984713,action1
CD_punished,2,68,CD_punished_v2,PT3_COREUt,Utilitarian,-1.46875,0,18,7.5,-3.239849384014423,-0.04948208327143807,-3.0338585520484957,-2.9843764687770578,0.9518632961821306,0.048136703817869324,action1
CD_punished,0,42,CD_punished_v0,PT4_COREDe,Hybrid,3.765625,0,25,7.46875,-0.2055945763221154,-2.436322257675245,-0.09257100497043902,2.3437512527048057,0.08756373943648918,0.9124362605635107,action2
CD_punished,1,55,CD_punished_v1,PT4_COREDe,Hybrid,3.765625,0,25,7.46875,-0.2055945763221154,-2.436322257675245,-0.09257100497043902,2.3437512527048057,0.08756373943648918,0.9124362605635107,action2
CD_punished,2,68,CD_punished_v2,PT4_COREDe,Hybrid,5.5078125,0,25,10.96875,0.46553861177884615,-4.805687095493405,-0.008810351426517713,4.796876744066887,0.00818789573837135,0.9918121042616287,action2
DC_exploited,0,42,DC_exploited_v0,base,Base (no FT),-0.99609375,0,17,7.4375,-2.7585777869591346,-4.37526232982488,-0.9221347373538465,3.453127592471033,0.030675724624168264,0.9693242753758318,action2
DC_exploited,1,55,DC_exploited_v1,base,Base (no FT),-0.99609375,0,17,7.4375,-2.7585777869591346,-4.37526232982488,-0.9221347373538465,3.453127592471033,0.030675724624168264,0.9693242753758318,action2
DC_exploited,2,68,DC_exploited_v2,base,Base (no FT),-0.36328125,0,17,7.5,-2.4561251126802883,-4.364517819355417,-1.2707644698280025,3.093753349527414,0.04336565980828365,0.9566343401917163,action2
DC_exploited,0,42,DC_exploited_v0,PT2_COREDe,Strategic,8.140625,0,25,12.234375,1.1746333195612981,-11.085998392405207,-6.1002357203278705e-05,11.085937390048004,1.5326108955092316e-05,0.999984673891045,action2
DC_exploited,1,55,DC_exploited_v1,PT2_COREDe,Strategic,8.140625,0,25,12.234375,1.1746333195612981,-11.085998392405207,-6.1002357203278705e-05,11.085937390048004,1.5326108955092316e-05,0.999984673891045,action2
DC_exploited,2,68,DC_exploited_v2,PT2_COREDe,Strategic,8.14453125,0,25,12.6796875,0.9850698617788461,-11.078234173151364,-0.00010953065736004467,11.078124642494004,1.5446315084450363e-05,0.9999845536849156,action2
DC_exploited,0,42,DC_exploited_v0,PT3_COREDe,Deontological,-3.4375,0,25,7.5,-4.132746769831731,-0.0004113679886691617,-7.82072396387089,-7.82031259588222,0.9995986649773299,0.00040133502267020085,action1
DC_exploited,1,55,DC_exploited_v1,PT3_COREDe,Deontological,-3.4375,0,25,7.5,-4.132746769831731,-0.0004113679886691617,-7.82072396387089,-7.82031259588222,0.9995986649773299,0.00040133502267020085,action1
DC_exploited,2,68,DC_exploited_v2,PT3_COREDe,Deontological,-3.32421875,0,25,7.5,-4.071711613581731,-9.792472030264069e-05,-9.281348055449268,-9.281250130728965,0.9999068540817501,9.31459182500149e-05,action1
DC_exploited,0,42,DC_exploited_v0,PT3_COREUt,Utilitarian,-1.296875,0,19,7.4375,-3.255359356219952,-0.13284278715194534,-2.085968033232895,-1.9531252460809496,0.8757870184176478,0.12421298158235215,action1
DC_exploited,1,55,DC_exploited_v1,PT3_COREUt,Utilitarian,-1.296875,0,19,7.4375,-3.255359356219952,-0.13284278715194534,-2.085968033232895,-1.9531252460809496,0.8757870184176478,0.12421298158235215,action1
DC_exploited,2,68,DC_exploited_v2,PT3_COREUt,Utilitarian,-0.9453125,0,18,7.4375,-3.0244985727163463,-0.10338248843044583,-2.3221302659905576,-2.218747777560112,0.9019204799328436,0.0980795200671565,action1
DC_exploited,0,42,DC_exploited_v0,PT4_COREDe,Hybrid,-4.3046875,0,25,11.259765625,-5.181865985576923,-0.03435917305521318,-3.401551531514622,-3.367192358459409,0.9666633324231312,0.03333666757686878,action1
DC_exploited,1,55,DC_exploited_v1,PT4_COREDe,Hybrid,-4.3046875,0,25,11.259765625,-5.181865985576923,-0.03435917305521318,-3.401551531514622,-3.367192358459409,0.9666633324231312,0.03333666757686878,action1
DC_exploited,2,68,DC_exploited_v2,PT4_COREDe,Hybrid,-1.46875,0,25,7.58984375,-3.673367426945613,-0.10974390174436086,-2.265996093486316,-2.156252191741955,0.8962515769322387,0.10374842306776134,action1
DD_trapped,0,42,DD_trapped_v0,base,Base (no FT),-1.11328125,0,17,7.5,-2.853130634014423,-2.340919354392912,-0.5596653442405224,1.7812540101523895,0.14414835830110187,0.855851641698898,action2
DD_trapped,1,55,DD_trapped_v1,base,Base (no FT),-1.11328125,0,17,7.5,-2.853130634014423,-2.340919354392912,-0.5596653442405224,1.7812540101523895,0.14414835830110187,0.855851641698898,action2
DD_trapped,2,68,DD_trapped_v2,base,Base (no FT),-0.75390625,0,17,7.5,-2.586162860576923,-1.7626075266166925,-1.450101792684505,0.3125057339321875,0.42250323576707416,0.577496764232926,action2
DD_trapped,0,42,DD_trapped_v0,PT2_COREDe,Strategic,7.21484375,0,25,11.203125,0.8564828725961539,-10.304749519038,-6.223287555626028e-05,10.304687286162443,3.3474695545213756e-05,0.9999665253044547,action2
DD_trapped,1,55,DD_trapped_v1,PT2_COREDe,Strategic,7.21484375,0,25,11.203125,0.8564828725961539,-10.304749519038,-6.223287555626028e-05,10.304687286162443,3.3474695545213756e-05,0.9999665253044547,action2
DD_trapped,2,68,DD_trapped_v2,PT2_COREDe,Strategic,7.30078125,0,25,11.75,0.7527794471153846,-10.539140372156858,-7.775582893726444e-05,10.539062616327922,2.6480840207224945e-05,0.9999735191597927,action2
DD_trapped,0,42,DD_trapped_v0,PT3_COREDe,Deontological,-3.4375,0,25,7.5,-4.044245793269231,-0.000567290279995933,-7.492754968070497,-7.492187677790501,0.9994428883808434,0.0005571116191567072,action1
DD_trapped,1,55,DD_trapped_v1,PT3_COREDe,Deontological,-3.4375,0,25,7.5,-4.044245793269231,-0.000567290279995933,-7.492754968070497,-7.492187677790501,0.9994428883808434,0.0005571116191567072,action1
DD_trapped,2,68,DD_trapped_v2,PT3_COREDe,Deontological,-3.478515625,0,25,7.5,-4.0491473858173075,-0.00010063720139482438,-9.257913029323223,-9.257812392121828,0.9999046453778323,9.535462216774199e-05,action1
DD_trapped,0,42,DD_trapped_v0,PT3_COREUt,Utilitarian,-1.65625,0,25,7.5,-3.4563880333533654,-0.08911187105756375,-2.464111088654819,-2.374999217597255,0.9149008940772749,0.08509910592272507,action1
DD_trapped,1,55,DD_trapped_v1,PT3_COREUt,Utilitarian,-1.65625,0,25,7.5,-3.4563880333533654,-0.08911187105756375,-2.464111088654819,-2.374999217597255,0.9149008940772749,0.08509910592272507,action1
DD_trapped,2,68,DD_trapped_v2,PT3_COREUt,Utilitarian,-1.421875,0,18,7.4375,-3.2026883638822117,-0.05098785126278084,-3.0041127405069563,-2.9531248892441755,0.9504109717960514,0.04958902820394867,action1
DD_trapped,0,42,DD_trapped_v0,PT4_COREDe,Hybrid,3.796875,0,25,7.5,-0.14280348557692307,-2.9748889970937142,-0.053011320744600215,2.921877676349114,0.051082607225759094,0.9489173927742409,action2
DD_trapped,1,55,DD_trapped_v1,PT4_COREDe,Hybrid,3.796875,0,25,7.5,-0.14280348557692307,-2.9748889970937142,-0.053011320744600215,2.921877676349114,0.051082607225759094,0.9489173927742409,action2
DD_trapped,2,68,DD_trapped_v2,PT4_COREDe,Hybrid,4.8125,0,25,10.78125,0.5056199293870193,-3.5159963952942817,-0.03161586831529959,3.484380526978982,0.02975993435800709,0.9702400656419929,action2
