experiment,scenario,circuit_size,circuit
PT2_COREDe_to_PT3_COREDe,DC_exploited,10,"[""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L16_MLP"", ""L18H0""]"
PT2_COREDe_to_PT3_COREDe,DC_exploited,10,"[""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L25_MLP"", ""L15H0""]"
PT2_COREDe_to_PT3_COREDe,DD_trapped,10,"[""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L16_MLP"", ""L19H0""]"
PT2_COREDe_to_PT3_COREDe,DD_trapped,10,"[""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L16_MLP"", ""L19H0""]"
PT2_COREDe_to_PT3_COREDe,DD_trapped,10,"[""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L25_MLP"", ""L15_MLP""]"
PT2_COREDe_to_PT3_COREUt,CC_continue,10,"[""L25_MLP"", ""L24_MLP"", ""L16_MLP"", ""L15_MLP"", ""L22_MLP"", ""L19H0"", ""L19H1"", ""L19H2"", ""L19H3"", ""L19H4""]"
PT2_COREDe_to_PT3_COREUt,CC_continue,10,"[""L25_MLP"", ""L24_MLP"", ""L16_MLP"", ""L15_MLP"", ""L22_MLP"", ""L19H0"", ""L19H1"", ""L19H2"", ""L19H3"", ""L19H4""]"
PT2_COREDe_to_PT3_COREUt,CC_continue,10,"[""L25_MLP"", ""L18H0"", ""L18H1"", ""L18H2"", ""L18H3"", ""L18H4"", ""L18H5"", ""L18H6"", ""L18H7"", ""L16_MLP""]"
PT2_COREDe_to_PT3_COREUt,CC_temptation,10,"[""L25_MLP"", ""L15_MLP"", ""L23_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6""]"
PT2_COREDe_to_PT3_COREUt,CC_temptation,10,"[""L25_MLP"", ""L15_MLP"", ""L23_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6""]"
PT2_COREDe_to_PT3_COREUt,CC_temptation,7,"[""L25_MLP"", ""L23_MLP"", ""L16_MLP"", ""L19_MLP"", ""L18_MLP"", ""L15_MLP"", ""L16H0""]"
PT2_COREDe_to_PT3_COREUt,CD_punished,10,"[""L25_MLP"", ""L16_MLP"", ""L15_MLP"", ""L24_MLP"", ""L22_MLP"", ""L19H0"", ""L19H1"", ""L19H2"", ""L19H3"", ""L19H4""]"
PT2_COREDe_to_PT3_COREUt,CD_punished,10,"[""L25_MLP"", ""L16_MLP"", ""L15_MLP"", ""L24_MLP"", ""L22_MLP"", ""L19H0"", ""L19H1"", ""L19H2"", ""L19H3"", ""L19H4""]"
PT2_COREDe_to_PT3_COREUt,CD_punished,10,"[""L25_MLP"", ""L18H0"", ""L18H1"", ""L18H2"", ""L18H3"", ""L18H4"", ""L18H5"", ""L18H6"", ""L18H7"", ""L16_MLP""]"
PT2_COREDe_to_PT3_COREUt,DC_exploited,10,"[""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L25_MLP"", ""L23_MLP""]"
PT2_COREDe_to_PT3_COREUt,DC_exploited,10,"[""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L25_MLP"", ""L23_MLP""]"
PT2_COREDe_to_PT3_COREUt,DC_exploited,10,"[""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L25_MLP"", ""L15_MLP""]"
PT2_COREDe_to_PT3_COREUt,DD_trapped,10,"[""L25_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L18H0""]"
PT2_COREDe_to_PT3_COREUt,DD_trapped,10,"[""L25_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L18H0""]"
PT2_COREDe_to_PT3_COREUt,DD_trapped,10,"[""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L25_MLP"", ""L15_MLP""]"
PT3_COREDe_to_PT3_COREUt,CC_continue,10,"[""L25_MLP"", ""L24_MLP"", ""L17_MLP"", ""L22_MLP"", ""L15_MLP"", ""L22H0"", ""L22H1"", ""L22H2"", ""L22H3"", ""L22H4""]"
PT3_COREDe_to_PT3_COREUt,CC_continue,10,"[""L25_MLP"", ""L24_MLP"", ""L17_MLP"", ""L22_MLP"", ""L15_MLP"", ""L22H0"", ""L22H1"", ""L22H2"", ""L22H3"", ""L22H4""]"
PT3_COREDe_to_PT3_COREUt,CC_continue,10,"[""L17_MLP"", ""L25_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7""]"
PT3_COREDe_to_PT3_COREUt,CC_temptation,10,"[""L25_MLP"", ""L17_MLP"", ""L24_MLP"", ""L15_MLP"", ""L23_MLP"", ""L22H0"", ""L22H1"", ""L22H2"", ""L22H3"", ""L22H4""]"
PT3_COREDe_to_PT3_COREUt,CC_temptation,10,"[""L25_MLP"", ""L17_MLP"", ""L24_MLP"", ""L15_MLP"", ""L23_MLP"", ""L22H0"", ""L22H1"", ""L22H2"", ""L22H3"", ""L22H4""]"
PT3_COREDe_to_PT3_COREUt,CC_temptation,10,"[""L17_MLP"", ""L25_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7""]"
PT3_COREDe_to_PT3_COREUt,CD_punished,10,"[""L25_MLP"", ""L24_MLP"", ""L17_MLP"", ""L15_MLP"", ""L22_MLP"", ""L23H0"", ""L23H1"", ""L23H2"", ""L23H3"", ""L23H4""]"
PT3_COREDe_to_PT3_COREUt,CD_punished,10,"[""L25_MLP"", ""L24_MLP"", ""L17_MLP"", ""L15_MLP"", ""L22_MLP"", ""L23H0"", ""L23H1"", ""L23H2"", ""L23H3"", ""L23H4""]"
PT3_COREDe_to_PT3_COREUt,CD_punished,10,"[""L17_MLP"", ""L25_MLP"", ""L24_MLP"", ""L22H0"", ""L22H1"", ""L22H2"", ""L22H3"", ""L22H4"", ""L22H5"", ""L22H6""]"
PT3_COREDe_to_PT3_COREUt,DC_exploited,10,"[""L17_MLP"", ""L25_MLP"", ""L23_MLP"", ""L18_MLP"", ""L18H0"", ""L18H1"", ""L18H2"", ""L18H3"", ""L18H4"", ""L18H5""]"
PT3_COREDe_to_PT3_COREUt,DC_exploited,10,"[""L17_MLP"", ""L25_MLP"", ""L23_MLP"", ""L18_MLP"", ""L18H0"", ""L18H1"", ""L18H2"", ""L18H3"", ""L18H4"", ""L18H5""]"
PT3_COREDe_to_PT3_COREUt,DC_exploited,10,"[""L17_MLP"", ""L25_MLP"", ""L23_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6""]"
PT3_COREDe_to_PT3_COREUt,DD_trapped,10,"[""L25_MLP"", ""L17_MLP"", ""L24_MLP"", ""L23_MLP"", ""L22H0"", ""L22H1"", ""L22H2"", ""L22H3"", ""L22H4"", ""L22H5""]"
PT3_COREDe_to_PT3_COREUt,DD_trapped,10,"[""L25_MLP"", ""L17_MLP"", ""L24_MLP"", ""L23_MLP"", ""L22H0"", ""L22H1"", ""L22H2"", ""L22H3"", ""L22H4"", ""L22H5""]"
PT3_COREDe_to_PT3_COREUt,DD_trapped,10,"[""L17_MLP"", ""L25_MLP"", ""L24_MLP"", ""L22H0"", ""L22H1"", ""L22H2"", ""L22H3"", ""L22H4"", ""L22H5"", ""L22H6""]"
PT3_COREUt_to_PT3_COREDe,CC_continue,10,"[""L16_MLP"", ""L25_MLP"", ""L23H0"", ""L23H1"", ""L23H2"", ""L23H3"", ""L23H4"", ""L23H5"", ""L23H6"", ""L23H7""]"
PT3_COREUt_to_PT3_COREDe,CC_continue,10,"[""L16_MLP"", ""L25_MLP"", ""L23H0"", ""L23H1"", ""L23H2"", ""L23H3"", ""L23H4"", ""L23H5"", ""L23H6"", ""L23H7""]"
PT3_COREUt_to_PT3_COREDe,CC_continue,10,"[""L25_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L16_MLP""]"
PT3_COREUt_to_PT3_COREDe,CC_temptation,10,"[""L16_MLP"", ""L25_MLP"", ""L18H0"", ""L18H1"", ""L18H2"", ""L18H3"", ""L18H4"", ""L18H5"", ""L18H6"", ""L18H7""]"
PT3_COREUt_to_PT3_COREDe,CC_temptation,10,"[""L16_MLP"", ""L25_MLP"", ""L18H0"", ""L18H1"", ""L18H2"", ""L18H3"", ""L18H4"", ""L18H5"", ""L18H6"", ""L18H7""]"
PT3_COREUt_to_PT3_COREDe,CC_temptation,10,"[""L16_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L25_MLP""]"
PT3_COREUt_to_PT3_COREDe,CD_punished,10,"[""L16_MLP"", ""L25_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7""]"
PT3_COREUt_to_PT3_COREDe,CD_punished,10,"[""L16_MLP"", ""L25_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7""]"
PT3_COREUt_to_PT3_COREDe,CD_punished,10,"[""L16_MLP"", ""L25_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7""]"
PT3_COREUt_to_PT3_COREDe,DC_exploited,10,"[""L16_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L25_MLP""]"
PT3_COREUt_to_PT3_COREDe,DC_exploited,10,"[""L16_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L25_MLP""]"
PT3_COREUt_to_PT3_COREDe,DC_exploited,10,"[""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L16_MLP"", ""L25_MLP""]"
PT3_COREUt_to_PT3_COREDe,DD_trapped,10,"[""L16_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L25_MLP""]"
PT3_COREUt_to_PT3_COREDe,DD_trapped,10,"[""L16_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L25_MLP""]"
PT3_COREUt_to_PT3_COREDe,DD_trapped,10,"[""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L25_MLP"", ""L16_MLP""]"
